Time,Lambda = 0.07903225806451612 & Delta = 0.03
0.0,100.0
0.041666666666666664,100.0987252127292
0.08333333333333333,100.19732002114043
0.125,100.29578414991943
0.16666666666666666,100.39411732589653
0.20833333333333331,100.49231927804631
0.24999999999999997,100.58318849016426
0.29166666666666663,100.66648634973478
0.3333333333333333,100.74964775956063
0.375,100.83267260485434
0.4166666666666667,100.91556077268358
0.45833333333333337,100.99831215196724
0.5,101.08092663347139
0.5416666666666666,101.1634041098053
0.5833333333333333,101.24574447541727
0.6249999999999999,101.32794762659064
0.6666666666666665,101.41001346143959
0.7083333333333331,101.49194187990493
0.7499999999999998,101.57373278374993
0.7916666666666664,101.65538607655607
0.833333333333333,101.7369016637187
0.8749999999999997,101.81827945244272
0.9166666666666663,101.8995193517383
0.9583333333333329,101.98062127241639
0.9999999999999996,102.0615851270843
1.0416666666666663,102.14241083014133
1.083333333333333,102.22309829777411
1.1249999999999998,102.30364744795226
1.1666666666666665,102.38405820042364
1.2083333333333333,102.46433047670988
1.25,102.53651042838119
1.2916666666666667,102.60855434464479
1.3333333333333335,102.68046222019653
1.3750000000000002,102.75223405122472
1.416666666666667,102.82386983540451
1.4583333333333337,102.89536957189236
1.5000000000000004,102.96673326132041
1.5416666666666672,103.03796090579085
1.583333333333334,103.10905250887032
1.6250000000000007,103.18000807558427
1.6666666666666674,103.25082761241126
1.7083333333333341,103.32151112727726
1.7500000000000009,103.39205862955006
1.7916666666666676,103.4624701300335
1.8333333333333344,103.53274564096166
1.875000000000001,103.60288517599334
1.9166666666666679,103.67288875020608
1.9583333333333346,103.74275638009061
2.0000000000000013,103.81248808354488
2.041666666666668,103.88208387986846
2.0833333333333344,103.95154378975657
2.125000000000001,104.02086783529442
2.1666666666666674,104.0900560399513
2.208333333333334,104.15910842857477
2.2500000000000004,104.21955383874815
2.291666666666667,104.27987037885218
2.3333333333333335,104.34005813458754
2.375,104.40011719268286
2.4166666666666665,104.4600476408889
2.458333333333333,104.51984956797267
2.4999999999999996,104.57952306371149
2.541666666666666,104.63906821888722
2.5833333333333326,104.69848512528038
2.624999999999999,104.75777387566426
2.6666666666666656,104.81693456379908
2.708333333333332,104.87596728442621
2.7499999999999987,104.93487213326219
2.791666666666665,104.99364920699301
2.8333333333333317,105.05229860326824
2.8749999999999982,105.11082042069519
2.9166666666666647,105.16921475883305
2.9583333333333313,105.22748171818711
2.999999999999998,105.28562140020297
3.0416666666666643,105.34363390726065
3.083333333333331,105.40151934266886
3.1249999999999973,105.4592778106591
3.166666666666664,105.51690941638
3.2083333333333304,105.57441426589139
3.249999999999997,105.63179246615863
3.2916666666666634,105.6800644227317
3.33333333333333,105.72822160229856
3.3749999999999964,105.77626415355807
3.416666666666663,105.82419222574218
3.4583333333333295,105.87200596861086
3.499999999999996,105.91970553244728
3.5416666666666625,105.9672910680529
3.583333333333329,106.01476272674265
3.6249999999999956,106.06212066033993
3.666666666666662,106.10936502117195
3.7083333333333286,106.15649596206474
3.749999999999995,106.2035136363384
3.7916666666666616,106.2504181978023
3.833333333333328,106.29720980075028
3.8749999999999947,106.34388859995587
3.916666666666661,106.39045475066754
3.9583333333333277,106.43690840860395
3.9999999999999942,106.48324972994926
4.041666666666661,106.52947887134832
4.083333333333328,106.57559598990206
4.124999999999995,106.62160124316279
4.166666666666662,106.66749478912949
4.208333333333329,106.71327678624326
4.249999999999996,106.75894739338248
4.2916666666666625,106.79505293786444
4.3333333333333295,106.83106409140838
4.3749999999999964,106.86698102919506
4.416666666666663,106.9028039265089
4.45833333333333,106.93853295873464
4.499999999999997,106.97416830135438
4.541666666666664,107.0097101299444
4.583333333333331,107.04515862017205
4.624999999999998,107.08051394779277
4.666666666666665,107.11577628864703
4.708333333333332,107.15094581865718
4.749999999999999,107.18602271382456
4.791666666666666,107.22100715022647
4.833333333333333,107.25589930401311
4.875,107.29069935140474
4.916666666666667,107.3254074686886
4.958333333333334,107.36002383221602
5.000000000000001,107.39454861839951
5.041666666666668,107.42898200370989
5.083333333333335,107.46332416467332
5.125000000000002,107.49757527786846
5.166666666666669,107.53173551992369
5.208333333333336,107.56580506751408
5.250000000000003,107.59978409735876
5.29166666666667,107.63367278621806
5.333333333333337,107.66747131089059
5.3750000000000036,107.70117984821067
5.4166666666666705,107.73479857504539
5.4583333333333375,107.76832766829196
5.500000000000004,107.80176730487496
5.541666666666671,107.83511766174362
5.583333333333338,107.86837891586912
5.625000000000005,107.90155124424189
5.666666666666672,107.93463482386902
5.708333333333339,107.96762983177148
5.750000000000006,108.0005364449816
5.791666666666673,108.03335484054044
5.83333333333334,108.06608519549508
5.875000000000007,108.09872768689611
5.916666666666674,108.13128249179512
5.958333333333341,108.16374978724203
6.000000000000008,108.19612975028255
6.041666666666675,108.22842255795578
6.083333333333342,108.26062838729155
6.125000000000009,108.292747415308
6.166666666666676,108.32477981900907
6.208333333333343,108.3567257753821
6.25000000000001,108.38858546139525
6.291666666666677,108.42035905399524
6.333333333333344,108.45204673010477
6.375000000000011,108.48364866662017
6.416666666666678,108.51516504040909
6.458333333333345,108.54659602830796
6.5000000000000115,108.57794180711983
6.5416666666666785,108.60920255361184
6.5833333333333455,108.640378444513
6.625000000000012,108.67146965651187
6.666666666666679,108.70247636625425
6.708333333333346,108.7333987503408
6.750000000000013,108.76423698532497
6.79166666666668,108.79499124771054
6.833333333333347,108.82566171394953
6.875000000000014,108.85624856043988
6.916666666666681,108.8867519635233
6.958333333333348,108.917172099483
7.000000000000015,108.94750914454163
7.041666666666682,108.97776327485899
7.083333333333349,109.00793466652993
7.125000000000016,109.03802349558225
7.166666666666683,109.06802993797449
7.20833333333335,109.09795416959388
7.250000000000017,109.11762157030614
7.291666666666684,109.13723136991054
7.333333333333351,109.15678371522968
7.375000000000018,109.17627875284835
7.416666666666685,109.19571662911291
