Time,Lambda = 0.07 & Alpha = 0.12
0.0,100.0
0.041666666666666664,100.08744892613284
0.08333333333333333,100.17479557616934
0.125,100.26203975855643
0.16666666666666666,100.34918128306082
0.20833333333333331,100.43621996076898
0.24999999999999997,93.06771290564161
0.29166666666666663,85.05125578279907
0.3333333333333333,85.1516055935025
0.375,85.25189918825448
0.4166666666666667,85.35213618804386
0.45833333333333337,85.45231621476823
0.5,85.5524388912393
0.5416666666666666,85.6525038411881
0.5833333333333333,85.75251068927022
0.6249999999999999,85.85245906107097
0.6666666666666665,85.95234858311053
0.7083333333333331,86.05217888284915
0.7499999999999998,86.15194958869213
0.7916666666666664,86.25166032999498
0.833333333333333,86.3513107370684
0.8749999999999997,86.45090044118331
0.9166666666666663,86.55042907457579
0.9583333333333329,86.64989627045202
0.9999999999999996,86.7493016629932
1.0416666666666663,86.84864488736044
1.083333333333333,86.94792557969953
1.1249999999999998,87.04714337714584
1.1666666666666665,87.146297917829
1.2083333333333333,87.24538884087775
1.25,78.84957868216742
1.2916666666666667,78.9526052926372
1.3333333333333335,79.05560025498308
1.3750000000000002,79.15856314590263
1.416666666666667,79.26149354262982
1.4583333333333337,79.36439102294169
1.5000000000000004,79.46725516516524
1.5416666666666672,79.57008554818418
1.583333333333334,79.67288175144569
1.6250000000000007,79.7756433549671
1.6666666666666674,79.8783699393427
1.7083333333333341,79.98106108575037
1.7500000000000009,80.08371637595823
1.7916666666666676,80.18633539233142
1.8333333333333344,80.28891771783854
1.875000000000001,80.39146293605845
1.9166666666666679,80.49397063118671
1.9583333333333346,80.59644038804227
2.0000000000000013,80.6988717920739
2.041666666666668,80.80126442936685
2.0833333333333344,80.9036178866492
2.125000000000001,81.00593175129845
2.1666666666666674,81.10820561134793
2.208333333333334,81.21043905549324
2.2500000000000004,72.54510489772694
2.291666666666667,72.64924366425635
2.3333333333333335,72.75337724021401
2.375,72.8575051830934
2.4166666666666665,72.96162705048376
2.458333333333333,73.06574240007767
2.4999999999999996,73.1698507896785
2.541666666666666,73.27395177720798
2.5833333333333326,73.37804492071363
2.624999999999999,73.4821297783763
2.6666666666666656,73.58620590851766
2.708333333333332,73.69027286960768
2.7499999999999987,73.79433022027213
2.791666666666665,73.89837751930001
2.8333333333333317,74.0024143256511
2.8749999999999982,74.10644019846336
2.9166666666666647,74.21045469706041
2.9583333333333313,74.31445738095898
2.999999999999998,74.41844780987637
3.0416666666666643,74.52242554373782
3.083333333333331,74.62639014268407
3.1249999999999973,74.73034116707865
3.166666666666664,74.83427817751537
3.2083333333333304,74.93820073482573
3.249999999999997,75.04210840008624
3.2916666666666634,66.23149924140237
