Time,Lambda = 0.07 & Alpha = 0.08
0.0,100.0
0.041666666666666664,100.08744892613284
0.08333333333333333,100.17479557616934
0.125,100.26203975855643
0.16666666666666666,100.34918128306082
0.20833333333333331,100.43621996076898
0.24999999999999997,95.31869973698491
0.29166666666666663,89.87484381651517
0.3333333333333333,89.97202673772325
0.375,90.06913610079008
0.4166666666666667,90.16617157661682
0.45833333333333337,90.26313283723344
0.5,90.36001955580218
0.5416666666666666,90.4568314066213
0.5833333333333333,90.55356806512859
0.6249999999999999,90.65022920790494
0.6666666666666665,90.74681451267797
0.7083333333333331,90.8433236583254
0.7499999999999998,90.93975632487853
0.7916666666666664,91.03611219352565
0.833333333333333,91.13239094661547
0.8749999999999997,91.22859226766042
0.9166666666666663,91.32471584133998
0.9583333333333329,91.4207613535039
0.9999999999999996,91.51672849117556
1.0416666666666663,91.61261694255502
1.083333333333333,91.70842639702234
1.1249999999999998,91.8041565451406
1.1666666666666665,91.89980707865902
1.2083333333333333,91.99537769051608
1.25,86.37323279729965
1.2916666666666667,86.47280909302764
1.3333333333333335,86.57232423722897
1.3750000000000002,86.67177786332398
1.416666666666667,86.7711696057091
1.4583333333333337,86.87049909976173
1.5000000000000004,86.96976598184501
1.5416666666666672,87.06896988931273
1.583333333333334,87.16811046051397
1.6250000000000007,87.26718733479798
1.6666666666666674,87.36620015251873
1.7083333333333341,87.46514855503972
1.7500000000000009,87.56403218473848
1.7916666666666676,87.66285068501134
1.8333333333333344,87.76160370027782
1.875000000000001,87.86029087598536
1.9166666666666679,87.95891185861363
1.9583333333333346,88.05746629567916
2.0000000000000013,88.15595383573972
2.041666666666668,88.2543741283987
2.0833333333333344,88.35272682430949
2.125000000000001,88.45101157517986
2.1666666666666674,88.54922803377625
2.208333333333334,88.647375853928
2.2500000000000004,82.87241193299374
2.291666666666667,82.97388102297899
2.3333333333333335,83.0753022883455
2.375,83.17667533181033
2.4166666666666665,83.27799975687833
2.458333333333333,83.37927516784792
2.4999999999999996,83.48050116981702
2.541666666666666,83.58167736868889
2.5833333333333326,83.68280337117794
2.624999999999999,83.78387878481553
2.6666666666666656,83.88490321795574
2.708333333333332,83.98587627978108
2.7499999999999987,84.08679758030823
2.791666666666665,84.18766673039369
2.8333333333333317,84.28848334173944
2.8749999999999982,84.38924702689854
2.9166666666666647,84.4899573992808
2.9583333333333313,84.59061407315822
2.999999999999998,84.69121666367064
3.0416666666666643,84.79176478683121
3.083333333333331,84.8922580595318
3.1249999999999973,84.99269609954854
3.166666666666664,85.0930785255472
3.2083333333333304,85.19340495708855
3.249999999999997,85.29367501463373
3.2916666666666634,79.39260537796329
3.33333333333333,79.4954603034372
3.3749999999999964,79.59828135431137
3.416666666666663,79.70106811018866
3.4583333333333295,79.80382015124398
3.499999999999996,79.90653705823102
3.5416666666666625,80.00921841248886
3.583333333333329,80.11186379594871
3.6249999999999956,80.21447279114052
3.666666666666662,80.31704498119964
3.7083333333333286,80.41957994987338
3.749999999999995,80.52207728152763
3.7916666666666616,80.6245365611534
3.833333333333328,80.7269573743734
3.8749999999999947,80.8293393074485
3.916666666666661,80.93168194728426
