Time,Lambda = 0.07903225806451612 & Delta = 0.03
0.0,100.0
0.041666666666666664,100.03288675922774
0.08333333333333333,100.0656869314022
0.125,100.09840068089481
0.16666666666666666,100.1310281721467
0.20833333333333331,100.1635695696658
0.24999999999999997,100.18683893158175
0.29166666666666663,100.20056971826943
0.3333333333333333,100.21425910932504
0.375,100.22790721777821
0.4166666666666667,100.2415141564242
0.45833333333333337,100.2550800378239
0.5,100.26860497430383
0.5416666666666666,100.28208907795612
0.5833333333333333,100.29553246063855
0.6249999999999999,100.3089352339746
0.6666666666666665,100.32229750935336
0.7083333333333331,100.33561939792968
0.7499999999999998,100.34890101062405
0.7916666666666664,100.36214245812282
0.833333333333333,100.37534385087805
0.8749999999999997,100.38850529910765
0.9166666666666663,100.40162691279538
0.9583333333333329,100.41470880169094
0.9999999999999996,100.42775107530996
1.0416666666666663,100.44075384293406
1.083333333333333,100.45371721361093
1.1249999999999998,100.46664129615442
1.1666666666666665,100.4795261991445
1.2083333333333333,100.49237203092744
1.25,100.4953555122471
1.2916666666666667,100.49832936137283
1.3333333333333335,100.50129360882971
1.3750000000000002,100.50424828504984
1.416666666666667,100.50719342037257
1.4583333333333337,100.51012904504474
1.5000000000000004,100.51305518922096
1.5416666666666672,100.5159718829639
1.583333333333334,100.51887915624442
1.6250000000000007,100.521777038942
1.6666666666666674,100.5246655608449
1.7083333333333341,100.52754475165037
1.7500000000000009,100.53041464096499
1.7916666666666676,100.53327525830494
1.8333333333333344,100.53612663309612
1.875000000000001,100.53896879467456
1.9166666666666679,100.54180177228658
1.9583333333333346,100.54462559508906
2.0000000000000013,100.54744029214972
2.041666666666668,100.55024589244731
2.0833333333333344,100.55304242487192
2.125000000000001,100.55582991822519
2.1666666666666674,100.55860840122058
2.208333333333334,100.56137790248366
2.2500000000000004,100.55399939296018
2.291666666666667,100.54664621834293
2.3333333333333335,100.53931828803402
2.375,100.5320155117838
2.4166666666666665,100.52473779968926
2.458333333333333,100.5174850621926
2.4999999999999996,100.51025721007976
2.541666666666666,100.5030541544789
2.5833333333333326,100.49587580685898
2.624999999999999,100.4887220790282
2.6666666666666656,100.48159288313265
2.708333333333332,100.47448813165485
2.7499999999999987,100.46740773741224
2.791666666666665,100.4603516135558
2.8333333333333317,100.45331967356861
2.8749999999999982,100.44631183126445
2.9166666666666647,100.43932800078636
2.9583333333333313,100.43236809660523
2.999999999999998,100.42543203351846
3.0416666666666643,100.41851972664847
3.083333333333331,100.41163109144142
3.1249999999999973,100.40476604366577
3.166666666666664,100.39792449941092
3.2083333333333304,100.39110637508584
3.249999999999997,100.38431158741773
3.2916666666666634,100.36712620130938
3.33333333333333,100.35000316793838
3.3749999999999964,100.33294224090928
3.416666666666663,100.31594317493968
3.4583333333333295,100.29900572585434
3.499999999999996,100.28212965057921
3.5416666666666625,100.26531470713547
3.583333333333329,100.24856065463374
3.6249999999999956,100.23186725326819
3.666666666666662,100.21523426431081
3.7083333333333286,100.19866145010553
3.749999999999995,100.18214857406268
3.7916666666666616,100.16569540065314
3.833333333333328,100.14930169540276
3.8749999999999947,100.13296722488678
3.916666666666661,100.11669175672424
3.9583333333333277,100.10047505957237
3.9999999999999942,100.08431690312122
4.041666666666661,100.06821705808801
4.083333333333328,100.05217529621189
4.124999999999995,100.0361913902484
4.166666666666662,100.02026511396417
4.208333333333329,100.00439624213158
4.249999999999996,99.98858455052341
4.2916666666666625,99.96218031289156
4.3333333333333295,99.93587675461403
4.3749999999999964,99.9096734427541
4.416666666666663,99.88356994658581
4.45833333333333,99.85756583758017
4.499999999999997,99.83166068939155
4.541666666666664,99.80585407784409
4.583333333333331,99.7801455809182
4.624999999999998,99.75453477873732
4.666666666666665,99.72902125355458
4.708333333333332,99.70360458973964
4.749999999999999,99.67828437376569
4.791666666666666,99.65306019419646
4.833333333333333,99.6279316416733
4.875,99.60289830890252
4.916666666666667,99.57795979064264
4.958333333333334,99.55311568369181
5.000000000000001,99.52836558687538
5.041666666666668,99.50370910103345
5.083333333333335,99.47914582900856
