Time,Lambda = 0.07903225806451612 & Delta = 0.07
0.0,100.0
0.041666666666666664,100.0987252127292
0.08333333333333333,100.19732002114043
0.125,100.29578414991943
0.16666666666666666,100.39411732589653
0.20833333333333331,100.49231927804631
0.24999999999999997,100.57286591984715
0.29166666666666663,100.63441021061068
0.3333333333333333,100.69582716589025
0.375,100.7571168484971
0.4166666666666667,100.81827932235974
0.45833333333333337,100.87931465251813
0.5,100.94022290511799
0.5416666666666666,101.00100414740501
0.5833333333333333,101.06165844771915
0.6249999999999999,101.12218587548888
0.6666666666666665,101.18258650122546
0.7083333333333331,101.2428603965171
0.7499999999999998,101.3030076340234
0.7916666666666664,101.3630282874694
0.833333333333333,101.42292243163995
0.8749999999999997,101.48269014237394
0.9166666666666663,101.54233149655855
0.9583333333333329,101.60184657212349
0.9999999999999996,101.66123544803533
1.0416666666666663,101.72049820429162
1.083333333333333,101.77963492191526
1.1249999999999998,101.83864568294872
1.1666666666666665,101.89753057044835
1.2083333333333333,101.95628966847852
1.25,101.9940846701583
1.2916666666666667,102.03178331053368
1.3333333333333335,102.06938575403693
1.3750000000000002,102.1068921653027
1.416666666666667,102.14430270916444
1.4583333333333337,102.18161755065103
1.5000000000000004,102.21883685498321
1.5416666666666672,102.25596078757009
1.583333333333334,102.29298951400577
1.6250000000000007,102.3299232000658
1.6666666666666674,102.36676201170383
1.7083333333333341,102.40350611504819
1.7500000000000009,102.44015567639843
1.7916666666666676,102.47671086222205
1.8333333333333344,102.51317183915107
1.875000000000001,102.54953877397872
1.9166666666666679,102.58581183365602
1.9583333333333346,102.62199118528864
2.0000000000000013,102.65807699613339
2.041666666666668,102.69406943359512
2.0833333333333344,102.72996866522337
2.125000000000001,102.76577485870912
2.1666666666666674,102.80148818188157
2.208333333333334,102.83710880270493
2.2500000000000004,102.84985204283458
2.291666666666667,102.8625565313877
2.3333333333333335,102.87522237628895
2.375,102.88784968522516
2.4166666666666665,102.90043856564553
2.458333333333333,102.91298912476171
2.4999999999999996,102.9255014695479
2.541666666666666,102.93797570674094
2.5833333333333326,102.95041194284057
2.624999999999999,102.96281028410942
2.6666666666666656,102.9751708365732
2.708333333333332,102.98749370602081
2.7499999999999987,102.99977899800453
2.791666666666665,103.01202681784007
2.8333333333333317,103.02423727060679
2.8749999999999982,103.03641046114787
2.9166666666666647,103.04854649407031
2.9583333333333313,103.06064547374527
2.999999999999998,103.07270750430807
3.0416666666666643,103.08473268965848
3.083333333333331,103.09672113346075
3.1249999999999973,103.10867293914389
3.166666666666664,103.12058820990173
3.2083333333333304,103.13246704869314
3.249999999999997,103.14430955824224
3.2916666666666634,103.13148122199411
3.33333333333333,103.11869823499403
3.3749999999999964,103.10596042613825
3.416666666666663,103.0932676250422
3.4583333333333295,103.08061966203688
3.499999999999996,103.06801636816542
3.5416666666666625,103.05545757517956
3.583333333333329,103.04294311553623
3.6249999999999956,103.03047282239412
3.666666666666662,103.0180465296102
3.7083333333333286,103.0056640717364
3.749999999999995,102.99332528401617
3.7916666666666616,102.98103000238112
3.833333333333328,102.96877806344774
3.8749999999999947,102.95656930451405
3.916666666666661,102.94440356355625
3.9583333333333277,102.93228067922553
3.9999999999999942,102.92020049084472
4.041666666666661,102.9081628384051
4.083333333333328,102.89616756256316
4.124999999999995,102.88421450463738
4.166666666666662,102.87230350660506
4.208333333333329,102.86043441109915
4.249999999999996,102.84860706140505
4.2916666666666625,102.81049664169909
4.3333333333333295,102.77253960763966
4.3749999999999964,102.73473523963605
4.416666666666663,102.69708282222557
4.45833333333333,102.65958164404431
4.499999999999997,102.62223099779811
4.541666666666664,102.58503018023391
4.583333333333331,102.54797849211116
4.624999999999998,102.51107523817358
4.666666666666665,102.4743197271212
4.708333333333332,102.4377112715825
4.749999999999999,102.40124918808694
4.791666666666666,102.36493279703757
4.833333333333333,102.32876142268402
4.875,102.29273439309564
4.916666666666667,102.25685104013479
4.958333333333334,102.22111069943055
5.000000000000001,102.18551271035246
5.041666666666668,102.15005641598458
5.083333333333335,102.11474116309977
5.125000000000002,102.07956630213411
5.166666666666669,102.04453118716164
5.208333333333336,102.00963517586919
5.250000000000003,101.97487762953152
5.29166666666667,101.94025791298665
5.333333333333337,101.90577539461134
5.3750000000000036,101.8714294462968
5.4166666666666705,101.83721944342464
5.4583333333333375,101.80314476484295
5.500000000000004,101.76920479284264
5.541666666666671,101.73539891313399
5.583333333333338,101.70172651482324
5.625000000000005,101.66818699038954
5.666666666666672,101.63477973566212
5.708333333333339,101.6015041497974
5.750000000000006,101.56835963525658
5.791666666666673,101.53534559778322
5.83333333333334,101.50246144638105
5.875000000000007,101.46970659329202
5.916666666666674,101.43708045397443
5.958333333333341,101.40458244708135
6.000000000000008,101.37221199443911
6.041666666666675,101.33996852102601
6.083333333333342,101.30785145495123
6.125000000000009,101.27586022743388
6.166666666666676,101.24399427278217
6.208333333333343,101.21225302837287
6.25000000000001,101.18063593463081
6.291666666666677,101.14914243500863
6.333333333333344,101.11777197596663
6.375000000000011,101.08652400695286
6.416666666666678,101.05539798038328
6.458333333333345,101.02439335162212
6.5000000000000115,100.99350957896245
6.5416666666666785,100.96274612360678
6.5833333333333455,100.93210244964794
6.625000000000012,100.90157802405002
6.666666666666679,100.87117231662953
6.708333333333346,100.84088480003665
6.750000000000013,100.8107149497367
6.79166666666668,100.78066224399169
6.833333333333347,100.75072616384199
6.875000000000014,100.72090619308827
6.916666666666681,100.69120181827348
6.958333333333348,100.661612528665
7.000000000000015,100.63213781623689
7.041666666666682,100.60277717565235
7.083333333333349,100.57353010424632
7.125000000000016,100.54439610200811
7.166666666666683,100.51537467156426
7.20833333333335,100.48646531816155
7.250000000000017,100.43065639754244
7.291666666666684,100.37509260568851
7.333333333333351,100.31977263041087
7.375000000000018,100.2646951683789
7.416666666666685,100.20985892504586
