Time,Lambda = 0.1 & Alpha = -0.03,Lambda = 0.1 & Alpha = 0.0,Lambda = 0.1 & Alpha = 0.03,Lambda = 0.1 & Alpha = 0.06,Lambda = 0.1 & Alpha = 0.09,Lambda = 0.1 & Alpha = 0.12,Lambda = 0.1 & Alpha = 0.15,Lambda = 0.1 & Alpha = 0.18,Lambda = 0.1 & Alpha = 0.21,Lambda = 0.1 & Alpha = 0.24,Lambda = 0.1 & Alpha = 0.27
0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.041666666666666664,100.04159727768928,100.04159727768928,100.04159727768928,100.04159727768928,100.04159727768928,100.04159727768928,100.04159727768928,100.04159727768928,100.04159727768928,100.04159727768928,100.04159727768928
0.08333333333333333,100.08305599935457,100.08305599935457,100.08305599935457,100.08305599935457,100.08305599935457,100.08305599935457,100.08305599935457,100.08305599935457,100.08305599935457,100.08305599935457,100.08305599935457
0.125,100.12437649802843,100.12437649802843,100.12437649802843,100.12437649802843,100.12437649802843,100.12437649802843,100.12437649802843,100.12437649802843,100.12437649802843,100.12437649802843,100.12437649802843
0.16666666666666666,100.16555910691822,100.16555910691822,100.16555910691822,100.16555910691822,100.16555910691822,100.16555910691822,100.16555910691822,100.16555910691822,100.16555910691822,100.16555910691822,100.16555910691822
0.20833333333333331,100.20660415939706,100.20660415939706,100.20660415939706,100.20660415939706,100.20660415939706,100.20660415939706,100.20660415939706,100.20660415939706,100.20660415939706,100.20660415939706,100.20660415939706
0.24999999999999997,100.97922168183486,100.24751198899492,99.56659738309627,98.93295401801572,98.34330219701636,97.79458949886273,97.28397506450612,96.80881496527324,96.36664857877834,95.95518590372139,95.5722957493626
0.29166666666666663,101.7025923548779,100.28828292938968,98.893320668198,97.52847688480395,96.20185180836448,94.91937597809299,93.68522315493972,92.50215029970516,91.37177739205863,90.29481759615675,89.27126642128408
0.3333333333333333,101.73841296802568,100.32891731439845,98.9385567566455,97.57807475781853,96.25555606098189,94.9769250464697,93.74635621219596,92.5666122279877,91.43932224951924,90.36521091983373,89.34428664059031
0.375,101.77410972348628,100.36941547796876,98.98364589857142,97.62751655993452,96.30909663142288,95.0343042165215,93.80731441609205,92.63089546922507,91.50668556923418,90.43542070580912,89.4171220497911
0.4166666666666667,101.80968295428606,100.40977775416987,99.02858841934018,97.67680259950441,96.36247380422621,95.0915137436297,93.86809798885017,92.69500020966835,91.57386749969474,90.50544706388261,89.48977271976375
0.45833333333333337,101.8451329932877,100.45000447718417,99.0733846447408,97.72593318563655,96.4156878650247,95.1485538846042,93.92870715444413,92.75892663762613,91.6408681917342,90.57529010645715,89.56223872422565
0.5,101.88046017318378,100.49009598129867,99.11803490097631,97.77490862818274,96.46873910053125,95.20542489766846,93.98914213858353,92.82267494344792,91.70768779851116,90.64494994852214,89.63452013971775
0.5416666666666666,101.91566482649041,100.5300526008964,99.16253951465332,97.82372923772598,96.52162779852505,95.26212704244443,94.04940316869785,92.8862453195077,91.77432647549274,90.71442670763676,89.70661704558802
0.5833333333333333,101.95074728554098,100.56987467044806,99.20689881277146,97.87239532556814,96.57435424783777,95.3186605799376,94.10949047392045,92.94963796018752,91.84078438043795,90.7837205039132,89.77852952397497
0.6249999999999999,101.98570788247991,100.6095625245036,99.25111312271302,97.9209072037178,96.62691873833991,95.37502577252202,94.16940428507291,93.01285306186105,91.9070616733809,90.85283145999995,89.8502576597911
0.6666666666666665,102.02054694925648,100.64911649768398,99.29518277223265,97.96926518487811,96.67932156092701,95.43122288392546,94.22914483464909,93.07589082287718,91.9731585166141,90.92175970106501,89.92180154070628
0.7083333333333331,102.05526481761866,100.6885369246728,99.33910808944702,98.01746958243467,96.73156300750614,95.4872521792145,94.28871235679946,93.13875144354373,92.03907507467189,90.99050535477916,89.99316125713122
0.7499999999999998,102.08986181910713,100.72782414020821,99.38288940282467,98.06552071044355,96.78364337098225,95.54311392477973,94.34810708731536,93.20143512611095,92.10481151431358,91.05906855129923,90.06433690220081
0.7916666666666664,102.12433828504918,100.76697847907474,99.42652704117587,98.11341888361933,96.83556294524475,95.5988083883211,94.40732926361326,93.26394207475539,92.17036800450693,91.12744942325128,90.13532857175751
0.833333333333333,102.15869454655278,100.80600027609519,99.47002133364249,98.16116441732323,96.88732202515406,95.65433583883319,94.46637912471921,93.32627249556352,92.23574471641145,91.19564810571389,90.20613636433468
0.8749999999999997,102.19293093450072,100.84488986612268,99.51337260968803,98.2087576275513,96.9389209065282,95.70969654659048,94.52525691125321,93.38842659651542,92.30094182336175,91.26366473620136,90.27676038113998
0.9166666666666663,102.22704777954466,100.88364758403269,99.55658119908765,98.25619883092247,96.99035988612947,95.76489078313281,94.58396286541357,93.45040458746865,92.36595950085095,91.33149945464702,90.34720072603865
0.9583333333333329,102.26104541209938,100.9222737647151,99.59964743191826,98.30348834466717,97.04163926165117,95.81991882125092,94.64249723096154,93.51220668014206,92.43079792651403,91.3991524033864,90.41745750553683
0.9999999999999996,102.29492416233704,100.96076874306648,99.64257163854873,98.3506264866154,97.09275933170446,95.87478093497185,94.7008602532057,93.57383308809949,92.49545728011132,91.4666237271405,90.48753082876485
1.0416666666666663,102.32868436018148,100.99913285398216,99.68535414963014,98.3976135751853,97.14372039580512,95.92947739954454,94.7590521789866,93.63528402673374,92.55993774351184,91.53391357299908,90.55742080746056
1.083333333333333,102.36232633530254,101.03736643234869,99.72799529608598,98.44444992937161,97.19452275436053,95.98400849142546,94.81707325666136,93.69655971325048,92.62423950067682,91.60102209040386,90.62712755595255
