Time,PSI = 0.9 & Fraction Size = 0.0 & Delta = 0.0,PSI = 0.9 & Fraction Size = 0.0 & Delta = 0.02,PSI = 0.9 & Fraction Size = 0.0 & Delta = 0.04,PSI = 0.9 & Fraction Size = 0.0 & Delta = 0.06,PSI = 0.9 & Fraction Size = 0.0 & Delta = 0.08,PSI = 0.9 & Fraction Size = 0.0 & Delta = 0.1,PSI = 0.9 & Fraction Size = 0.0 & Delta = 0.12,PSI = 0.9 & Fraction Size = 0.0 & Delta = 0.14,PSI = 0.9 & Fraction Size = 0.0 & Delta = 0.16,PSI = 0.9 & Fraction Size = 0.0 & Delta = 0.18,PSI = 0.9 & Fraction Size = 0.0 & Delta = 0.2
0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1.0,100.96076874306645,100.96076874306645,100.96076874306645,100.96076874306645,100.96076874306645,100.96076874306645,100.96076874306645,100.96076874306645,100.96076874306645,100.96076874306645,100.96076874306645
1.0416666666666667,100.99913285398215,100.99913285398215,100.99913285398215,100.99913285398215,100.99913285398215,100.99913285398215,100.99913285398215,100.99913285398215,100.99913285398215,100.99913285398215,100.99913285398215
1.0833333333333333,101.03736643234868,101.03736643234868,101.03736643234868,101.03736643234868,101.03736643234868,101.03736643234868,101.03736643234868,101.03736643234868,101.03736643234868,101.03736643234868,101.03736643234868
1.125,101.07546981303601,101.07546981303601,101.07546981303601,101.07546981303601,101.07546981303601,101.07546981303601,101.07546981303601,101.07546981303601,101.07546981303601,101.07546981303601,101.07546981303601
1.1666666666666667,101.11344333089004,101.11344333089004,101.11344333089004,101.11344333089004,101.11344333089004,101.11344333089004,101.11344333089004,101.11344333089004,101.11344333089004,101.11344333089004,101.11344333089004
1.2083333333333333,101.15128732072496,101.15128732072496,101.15128732072496,101.15128732072496,101.15128732072496,101.15128732072496,101.15128732072496,101.15128732072496,101.15128732072496,101.15128732072496,101.15128732072496
1.25,101.18900211731585,101.18900211731585,101.18900211731585,101.18900211731585,101.18900211731585,101.18900211731585,101.18900211731585,101.18900211731585,101.18900211731585,101.18900211731585,101.18900211731585
1.2916666666666665,101.22658805539125,101.21876301935961,101.21061322650286,101.202118031178,101.19325499985838,101.18399971331571,101.17432554194298,101.16420338986498,101.15360140265824,101.14248463249537,101.13081465329876
1.3333333333333333,101.26404546962576,101.24841757776865,101.23214365223855,101.21518278847007,101.1974905542011,101.17901860079755,101.15971422203222,101.13951985183837,101.11837249095929,101.09620305046532,101.07293559772758
1.375,101.30137469463276,101.27796610547705,101.25359365966808,101.22819657515463,101.20170884949049,101.17405868708067,101.14516784932826,101.11495091529615,101.08331443816999,101.05015597997755,101.01536300355956
1.4166666666666667,101.33857606495721,101.30740891501935,101.27496351335063,101.24115957662752,101.20590995460914,101.16911987990508,101.13068611718751,101.09049599576483,101.04842630642446,101.00434203979646,100.95809493902364
1.4583333333333335,101.37564991506837,101.33674631852656,101.2962534772582,101.25407197771867,101.21009393817658,101.16420208742946,101.11626872056837,101.06615451221275,101.01370716399042,100.95875985861022,100.90112948747192
1.5,101.41259657935275,101.36597862772223,101.3174638147746,101.26693396269293,101.21426086855018,101.15930521822912,101.10191535602158,101.04192588702584,100.97915608522024,100.91340807494277,100.84446474723278
1.5416666666666665,101.44941639210701,101.39510615391855,101.33859478869438,101.27974571525091,101.21841081382611,101.15442918129398,101.08762572168055,101.01780954598352,100.94477215050246,100.86828533706682,100.78809883146569
1.5833333333333333,101.48610968753096,101.42412920801256,101.35964666122186,101.29250741852981,101.22254384184015,101.1495738860265,101.07339951725189,100.99380491823483,100.91055444621377,100.82339030291783,100.73202986801783
1.625,101.52267679972054,101.45304810048238,101.38061969397009,101.3052192551043,101.22666002016871,101.14473924223971,101.05923644400585,100.96991143627474,100.87650206467134,100.77872164000878,100.6762559992823
1.6666666666666665,101.55911806266104,101.48186314138337,101.40151414795997,101.31788140698737,101.2307594161296,101.1399251601552,101.04513620476702,100.94612853592066,100.84261410408584,100.73427802534599,100.62077538205794
1.708333333333333,101.5954338102201,101.51057464034459,101.4223302836192,101.33049405563118,101.23484209678308,101.13513155040114,101.03109850390487,100.92245565628922,100.80888966851468,100.69005814534572,100.56558618741086
