Time,Lambda = 0.0 & Alpha = 0.0,Lambda = 0.01 & Alpha = 0.0,Lambda = 0.02 & Alpha = 0.0,Lambda = 0.03 & Alpha = 0.0,Lambda = 0.04 & Alpha = 0.0,Lambda = 0.05 & Alpha = 0.0,Lambda = 0.06 & Alpha = 0.0,Lambda = 0.07 & Alpha = 0.0,Lambda = 0.08 & Alpha = 0.0,Lambda = 0.09 & Alpha = 0.0,Lambda = 0.1 & Alpha = 0.0
0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1.0,100.0,100.09960076692728,100.19840613740692,100.2964207201378,100.39364912878847,100.49009598129864,100.58576589919251,100.68066350690363,100.77479343111159,100.86816030009004,100.96076874306645
1.0416666666666667,100.0,100.10373350574395,100.20660415939706,100.30861717044854,100.40977775416984,100.51009113075963,100.60956252450357,100.70819716294913,100.80600027609518,100.90297709559636,100.99913285398215
1.0833333333333333,100.0,100.10786486399638,100.2147966924715,100.32080134579991,100.42588469104017,100.53005260089637,100.63331095269838,100.7356656274012,100.83712250860285,100.93768748158111,101.03736643234868
1.125,100.0,100.11199484201781,100.22298373929918,100.33297325520901,100.44196996079191,100.54998043352035,100.65701125606617,100.763069015096,100.86816030009004,100.97229170218434,101.07546981303601
1.1666666666666667,100.0,100.11612344014145,100.23116530254931,100.34513290769394,100.45803358482011,100.56987467044803,100.68066350690366,100.79040744087851,100.8991138220188,101.00679000154327,101.11344333089004
1.2083333333333333,100.0,100.12025065870057,100.23934138489132,100.35728031227384,100.47407558452237,100.58973535350057,100.7042677775144,100.81768101960121,100.92998324585514,101.04118262378779,101.15128732072496
1.25,100.0,100.12437649802843,100.24751198899489,100.36941547796876,100.49009598129864,100.60956252450357,100.72782414020821,100.84488986612266,100.96076874306645,101.07546981303601,101.18900211731585
1.2916666666666665,96.97676326071031,97.13635467496916,97.29439025314122,97.45087956896279,97.60583226816573,97.75925806472435,97.9111667371633,98.06156812492691,98.21047212481068,98.35788868745357,98.50382781389351
1.3333333333333333,96.97676326071031,97.14144434463981,97.30446926814419,97.46584852956995,97.62559270933345,97.78371246552972,97.94021852961427,98.09512170215916,98.24843284868327,98.400162895556,98.55032282597666
1.375,96.97676326071031,97.14653242711975,97.31454197330433,97.4808033813768,97.6453282265604,97.80812817207602,97.96921496411703,98.12860042691206,98.28629645787734,98.44231502285632,98.59666815144989
1.4166666666666667,96.97676326071031,97.15161892270979,97.3246083710509,97.4957441326541,97.66503883961325,97.83250522326998,97.99815610839207,98.16200440745709,98.32406311504172,98.48434530231567,98.6428641116431
1.4583333333333335,96.97676326071031,97.15670383171089,97.3346684638145,97.510670791679,97.68472456827797,97.85684365806257,98.02704203024682,98.19533375221724,98.36173298306777,98.52625396725881,98.68891102840313
1.5,96.97676326071031,97.16178715442408,97.34472225402705,97.52558336673506,97.70438543235963,97.88114351544894,98.05587279757466,98.22858856976502,98.39930622508574,98.56804125136745,98.73480922408262
1.5416666666666665,96.97676326071031,97.16686889115047,97.3547697441218,97.5404818661122,97.72402145168223,97.90540483446782,98.08464847835401,98.26176896882052,98.43678300446088,98.60970738867361,98.78055902152893
1.5833333333333333,96.97676326071031,97.17194904219129,97.36481093653337,97.55536629810666,97.74363264608867,97.9296276542012,98.11336914064736,98.29487505824947,98.47416348478981,98.65125261355297,98.82616074407318
1.625,96.97676326071031,97.17702760784782,97.3748458336976,97.57023667102098,97.76321903544057,97.953812013774,98.14203485260046,98.32790694706121,98.51144782989668,98.69267716071832,98.87161471551923
