Time,Lambda = 0.0 / Alpha = 0.0 / Delta = 0.1,Lambda = 0.01 / Alpha = 0.0 / Delta = 0.1,Lambda = 0.02 / Alpha = 0.0 / Delta = 0.1,Lambda = 0.03 / Alpha = 0.0 / Delta = 0.1,Lambda = 0.04 / Alpha = 0.0 / Delta = 0.1,Lambda = 0.05 / Alpha = 0.0 / Delta = 0.1,Lambda = 0.06 / Alpha = 0.0 / Delta = 0.1,Lambda = 0.07 / Alpha = 0.0 / Delta = 0.1,Lambda = 0.08 / Alpha = 0.0 / Delta = 0.1,Lambda = 0.09 / Alpha = 0.0 / Delta = 0.1,Lambda = 0.1 / Alpha = 0.0 / Delta = 0.1
2.2500000000000004,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125
2.291666666666667,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125
2.3333333333333335,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125
2.375,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125
2.4166666666666665,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125
2.458333333333333,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125
2.4999999999999996,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125
2.541666666666666,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125
2.5833333333333326,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125
2.624999999999999,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125
2.6666666666666656,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125
2.708333333333332,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125
2.7499999999999987,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125,82.0125
