Time,Lambda = 0.0 & Alpha = 0.1,Lambda = 0.01 & Alpha = 0.1,Lambda = 0.02 & Alpha = 0.1,Lambda = 0.03 & Alpha = 0.1,Lambda = 0.04 & Alpha = 0.1,Lambda = 0.05 & Alpha = 0.1,Lambda = 0.06 & Alpha = 0.1,Lambda = 0.07 & Alpha = 0.1,Lambda = 0.08 & Alpha = 0.1,Lambda = 0.09 & Alpha = 0.1,Lambda = 0.1 & Alpha = 0.1
0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.041666666666666664,100.0,100.01249895823932,100.0249958325814,100.0374906224628,100.04998332732069,100.06247394659273,100.07496247971719,100.08744892613284,100.09993328527902,100.11241555659561,100.12489573952304
0.08333333333333333,100.0,100.0249958325814,100.04998332732069,100.07496247971719,100.09993328527902,100.12489573952304,100.14984983797498,100.17479557616934,100.19973294964936,100.22466195396711,100.24958258468352
0.125,100.0,100.0374906224628,100.07496247971719,100.11241555659561,100.14984983797501,100.18726530877683,100.22466195396711,100.26203975855643,100.29939870759974,100.33673878619666,100.37405997949129
0.16666666666666666,100.0,100.04998332732069,100.09993328527902,100.14984983797498,100.19973294964936,100.24958258468352,100.29939870759972,100.34918128306082,100.39893027587037,100.44864565097267,100.49832737345268
0.20833333333333331,100.0,100.06247394659275,100.12489573952305,100.18726530877683,100.24958258468354,100.31184749791616,100.37405997949129,100.43621996076898,100.4983273734527,100.56038214958944,100.62238422156956
0.24999999999999997,93.5988358319966,93.68008538346469,93.76127060866195,93.84239132641105,93.92344735623907,94.00443851837844,94.08536463376826,94.16622552405501,94.24702101159357,94.32775091944846,94.40841507139446
0.29166666666666663,86.71253994634716,86.81337152800246,86.91413735394842,87.01483704584878,87.11547022646968,87.21603651968464,87.31653555047974,87.41696694495823,87.51733033034549,87.61762533499392,87.71785158838762
0.3333333333333333,86.71253994634716,86.82756149155855,86.94249784580904,87.05734844759476,87.17211273725745,87.2867901569942,87.40138015086721,87.51588216481295,87.63029564665175,87.74462004609713,87.85885481476497
0.375,86.71253994634716,86.84175018052377,86.9708532050043,87.09984822391073,87.22873444428463,87.35751107610473,87.48617733230407,87.61473242878672,87.74317558444486,87.87150602117526,87.99972296389589
0.4166666666666667,86.71253994634716,86.85593759383838,86.99920342308452,87.14233634637544,87.28533528041253,87.42819914633796,87.57092686976382,87.71351738080021,87.85596961408373,87.99828250880553,88.1404550087387
0.45833333333333337,86.71253994634716,86.87012373044298,87.02754849160661,87.1848127866015,87.34191517860987,87.49885423727955,87.65562853877043,87.81223666579963,87.96867720768698,88.12494876039965,88.28104992659597
0.5,86.71253994634716,86.88430858927867,87.05588840213416,87.2272775162353,87.39847407195312,87.56947621877987,87.74028211540033,87.91088992976141,88.08129783914163,88.25150403021951,88.42150669914068
0.5416666666666666,86.71253994634716,86.8984921692869,87.08422314623738,87.2697305069572,87.45501189362676,87.64006496095487,87.82488737628461,88.00947681969656,88.1938309841117,88.37794757539244,88.56182431244191
0.5833333333333333,86.71253994634716,86.91267446940955,87.11255271549317,87.31217173048157,87.51152857692354,87.71062033418696,87.909444098611,88.10799698365517,88.30627612004687,88.50427865592661,88.70200175699048
0.6249999999999999,86.71253994634716,86.92685548858893,87.14087710148507,87.35460115855676,87.56802405524478,87.78114220912578,87.99395206012608,88.20645007073085,88.41863272619095,88.63049653472608,88.84203802772406
0.6666666666666665,86.71253994634716,86.94103522576773,87.16919629580332,87.39701876296533,87.62449826210064,87.85163045668912,88.07841103913718,88.30483573106508,88.5309002835903,88.75660047760574,88.98193212405215
0.7083333333333331,86.71253994634716,86.9552136798891,87.19751029004483,87.439424515524,87.68095113111045,87.92208494806376,88.16282081451459,88.4031536158516,88.6430782751022,88.88258975330614,89.1216830498808
0.7499999999999998,86.71253994634716,86.96939084989656,87.22581907581323,87.48181838808374,87.73738259600286,87.9925055547062,88.24718116569346,88.50140337734071,88.75516618540314,89.00846363350813,89.26128981363681
0.7916666666666664,86.71253994634716,86.98356673473405,87.25412264471885,87.52420035252986,87.79379259061628,88.06289214834358,88.33149187267594,88.59958466884356,88.86716350099695,89.13422139284735,89.40075142829191
0.833333333333333,86.71253994634716,86.99774133334597,87.28242098837873,87.56657038078208,87.85018104889902,88.13324460097449,88.41575271603305,88.69769714473642,88.97906971022302,89.25986230892862,89.54006691138648
0.8749999999999997,86.71253994634716,87.01191464467708,87.31071409841661,87.60892844479454,87.90654790490962,88.20356278486976,88.49996347690679,88.79574046046487,89.09088430326429,89.38538566234001,89.67923528505308
0.9166666666666663,86.71253994634716,87.02608666767257,87.339001966463,87.65127451655593,87.96289309281714,88.27384657257329,88.5841239370121,88.89371427254801,89.20260677215524,89.510790736667,89.81825557603953
0.9583333333333329,86.71253994634716,87.04025740127807,87.36728458415512,87.69360856808953,88.0192165469014,88.34409583690284,88.66823387863872,88.99161823858259,89.31423661078976,89.63607681850624,89.9571268157319
0.9999999999999996,86.71253994634716,87.05442684443959,87.39556194313694,87.73593057145328,88.07551820155325,88.41431045095088,88.75229308465333,89.08945201724714,89.42577331492903,89.76124319747933,90.09584804017702
1.0416666666666663,86.71253994634716,87.06859499610357,87.42383403505922,87.77824049873983,88.13179799127487,88.48449028808534,88.83630133850133,89.18721526830608,89.53721638220921,89.88628916624639,90.23441829010481
1.083333333333333,86.71253994634716,87.08276185521689,87.45210085157946,87.82053832207663,88.18805585067997,88.55463522195045,88.92025842420884,89.28490765261371,89.6485653121491,90.01121402051938,90.37283661095029
