Time,Lambda = 0.5 / Alpha = 0.0 / Delta = 0.0
0.0,100.0
0.041666666666666664,100.0
0.08333333333333333,100.0
0.125,100.0
0.16666666666666666,100.0
0.20833333333333331,100.0
0.24999999999999997,100.0
0.29166666666666663,100.0
0.3333333333333333,100.0
0.375,100.0
0.4166666666666667,100.0
0.45833333333333337,100.0
0.5,100.0
0.5416666666666666,100.0
0.5833333333333333,100.0
0.6249999999999999,100.0
0.6666666666666665,100.0
0.7083333333333331,100.0
0.7499999999999998,100.0
0.7916666666666664,100.0
0.833333333333333,100.0
0.8749999999999997,100.0
0.9166666666666663,100.0
0.9583333333333329,100.0
0.9999999999999996,100.0
1.0416666666666663,100.0
1.083333333333333,100.0
1.1249999999999998,100.0
1.1666666666666665,100.0
1.2083333333333333,100.0
1.25,100.0
1.2916666666666667,100.0
1.3333333333333335,100.0
1.3750000000000002,100.0
1.416666666666667,100.0
1.4583333333333337,100.0
1.5000000000000004,100.0
1.5416666666666672,100.0
1.583333333333334,100.0
1.6250000000000007,100.0
1.6666666666666674,100.0
1.7083333333333341,100.0
1.7500000000000009,100.0
1.7916666666666676,100.0
1.8333333333333344,100.0
1.875000000000001,100.0
1.9166666666666679,100.0
1.9583333333333346,100.0
2.0000000000000013,100.0
2.041666666666668,100.0
2.0833333333333344,100.0
2.125000000000001,100.0
2.1666666666666674,100.0
2.208333333333334,100.0
2.2500000000000004,100.0
2.291666666666667,100.0
2.3333333333333335,100.0
2.375,100.0
2.4166666666666665,100.0
2.458333333333333,100.0
2.4999999999999996,100.0
2.541666666666666,100.0
2.5833333333333326,100.0
2.624999999999999,100.0
2.6666666666666656,100.0
2.708333333333332,100.0
2.7499999999999987,100.0
2.791666666666665,100.0
2.8333333333333317,100.0
2.8749999999999982,100.0
2.9166666666666647,100.0
2.9583333333333313,100.0
2.999999999999998,100.0
3.0416666666666643,100.0
3.083333333333331,100.0
3.1249999999999973,100.0
3.166666666666664,100.0
3.2083333333333304,100.0
3.249999999999997,100.0
3.2916666666666634,100.0
3.33333333333333,100.0
3.3749999999999964,100.0
3.416666666666663,100.0
3.4583333333333295,100.0
3.499999999999996,100.0
3.5416666666666625,100.0
3.583333333333329,100.0
3.6249999999999956,100.0
3.666666666666662,100.0
3.7083333333333286,100.0
3.749999999999995,100.0
3.7916666666666616,100.0
3.833333333333328,100.0
3.8749999999999947,100.0
3.916666666666661,100.0
3.9583333333333277,100.0
3.9999999999999942,100.0
4.041666666666661,100.0
4.083333333333328,100.0
4.124999999999995,100.0
4.166666666666662,100.0
4.208333333333329,100.0
4.249999999999996,100.0
4.2916666666666625,100.0
4.3333333333333295,100.0
4.3749999999999964,100.0
4.416666666666663,100.0
4.45833333333333,100.0
4.499999999999997,100.0
4.541666666666664,100.0
4.583333333333331,100.0
4.624999999999998,100.0
4.666666666666665,100.0
4.708333333333332,100.0
4.749999999999999,100.0
4.791666666666666,100.0
4.833333333333333,100.0
4.875,100.0
4.916666666666667,100.0
4.958333333333334,100.0
5.000000000000001,100.0
5.041666666666668,100.0
5.083333333333335,100.0
5.125000000000002,100.0
5.166666666666669,100.0
5.208333333333336,100.0
5.250000000000003,100.0
5.29166666666667,100.0
5.333333333333337,100.0
5.3750000000000036,100.0
5.4166666666666705,100.0
5.4583333333333375,100.0
5.500000000000004,100.0
5.541666666666671,100.0
5.583333333333338,100.0
5.625000000000005,100.0
5.666666666666672,100.0
5.708333333333339,100.0
5.750000000000006,100.0
5.791666666666673,100.0
5.83333333333334,100.0
5.875000000000007,100.0
5.916666666666674,100.0
5.958333333333341,100.0
6.000000000000008,100.0
6.041666666666675,100.0
6.083333333333342,100.0
6.125000000000009,100.0
6.166666666666676,100.0
6.208333333333343,100.0
6.25000000000001,100.0
6.291666666666677,100.0
6.333333333333344,100.0
6.375000000000011,100.0
6.416666666666678,100.0
6.458333333333345,100.0
6.5000000000000115,100.0
6.5416666666666785,100.0
6.5833333333333455,100.0
6.625000000000012,100.0
6.666666666666679,100.0
6.708333333333346,100.0
6.750000000000013,100.0
6.79166666666668,100.0
6.833333333333347,100.0
6.875000000000014,100.0
6.916666666666681,100.0
6.958333333333348,100.0
7.000000000000015,100.0
7.041666666666682,100.0
7.083333333333349,100.0
7.125000000000016,100.0
7.166666666666683,100.0
7.20833333333335,100.0
7.250000000000017,100.0
7.291666666666684,100.0
7.333333333333351,100.0
7.375000000000018,100.0
7.416666666666685,100.0
7.458333333333352,100.0
7.500000000000019,100.0
7.541666666666686,100.0
7.583333333333353,100.0
7.6250000000000195,100.0
7.6666666666666865,100.0
7.7083333333333535,100.0
7.75000000000002,100.0
7.791666666666687,100.0
7.833333333333354,100.0
7.875000000000021,100.0
7.916666666666688,100.0
7.958333333333355,100.0
8.000000000000021,100.0
8.041666666666687,100.0
8.083333333333353,100.0
8.12500000000002,100.0
8.166666666666686,100.0
8.208333333333352,100.0
8.250000000000018,100.0
8.291666666666684,100.0
8.33333333333335,100.0
8.375000000000016,100.0
8.416666666666682,100.0
8.458333333333348,100.0
8.500000000000014,100.0
8.54166666666668,100.0
8.583333333333346,100.0
8.625000000000012,100.0
8.666666666666679,100.0
8.708333333333345,100.0
8.75000000000001,100.0
8.791666666666677,100.0
8.833333333333343,100.0
8.875000000000009,100.0
8.916666666666675,100.0
8.958333333333341,100.0
9.000000000000007,100.0
9.041666666666673,100.0
9.08333333333334,100.0
9.125000000000005,100.0
9.166666666666671,100.0
9.208333333333337,100.0
9.250000000000004,100.0
9.29166666666667,100.0
9.333333333333336,100.0
9.375000000000002,100.0
9.416666666666668,100.0
9.458333333333334,100.0
9.5,100.0
9.541666666666666,100.0
9.583333333333332,100.0
9.624999999999998,100.0
9.666666666666664,100.0
9.70833333333333,100.0
9.749999999999996,100.0
9.791666666666663,100.0
9.833333333333329,100.0
9.874999999999995,100.0
9.91666666666666,100.0
9.958333333333327,100.0
9.999999999999993,100.0
10.041666666666659,100.0
10.083333333333325,100.0
10.124999999999991,100.0
10.166666666666657,100.0
10.208333333333323,100.0
10.24999999999999,100.0
10.291666666666655,100.0
10.333333333333321,100.0
10.374999999999988,100.0
10.416666666666654,100.0
10.45833333333332,100.0
10.499999999999986,100.0
10.541666666666652,100.0
10.583333333333318,100.0
10.624999999999984,100.0
10.66666666666665,100.0
10.708333333333316,100.0
10.749999999999982,100.0
10.791666666666648,100.0
10.833333333333314,100.0
10.87499999999998,100.0
10.916666666666647,100.0
10.958333333333313,100.0
10.999999999999979,100.0
11.041666666666645,100.0
11.08333333333331,100.0
11.124999999999977,100.0
11.166666666666643,100.0
11.208333333333309,100.0
11.249999999999975,100.0
11.291666666666641,100.0
11.333333333333307,100.0
11.374999999999973,100.0
11.41666666666664,100.0
11.458333333333306,100.0
11.499999999999972,100.0
11.541666666666638,100.0
11.583333333333304,100.0
11.62499999999997,100.0
11.666666666666636,100.0
11.708333333333302,100.0
11.749999999999968,100.0
11.791666666666634,100.0
11.8333333333333,100.0
11.874999999999966,100.0
11.916666666666632,100.0
11.958333333333298,100.0
11.999999999999964,100.0
12.04166666666663,100.0
12.083333333333297,100.0
12.124999999999963,100.0
12.166666666666629,100.0
12.208333333333295,100.0
12.249999999999961,100.0
12.291666666666627,100.0
12.333333333333293,100.0
12.37499999999996,100.0
12.416666666666625,100.0
12.458333333333291,100.0
12.499999999999957,100.0
12.541666666666623,100.0
12.58333333333329,100.0
12.624999999999956,100.0
12.666666666666622,100.0
12.708333333333288,100.0
12.749999999999954,100.0
12.79166666666662,100.0
12.833333333333286,100.0
12.874999999999952,100.0
12.916666666666618,100.0
12.958333333333284,100.0
12.99999999999995,100.0
13.041666666666616,100.0
13.083333333333282,100.0
13.124999999999948,100.0
13.166666666666615,100.0
13.20833333333328,100.0
13.249999999999947,100.0
13.291666666666613,100.0
13.333333333333279,100.0
13.374999999999945,100.0
13.416666666666611,100.0
13.458333333333277,100.0
13.499999999999943,100.0
13.54166666666661,100.0
13.583333333333275,100.0
13.624999999999941,100.0
13.666666666666607,100.0
13.708333333333274,100.0
13.74999999999994,100.0
13.791666666666606,100.0
13.833333333333272,100.0
13.874999999999938,100.0
13.916666666666604,100.0
13.95833333333327,100.0
13.999999999999936,100.0
14.041666666666602,100.0
14.083333333333268,100.0
14.124999999999934,100.0
14.1666666666666,100.0
14.208333333333266,100.0
14.249999999999932,100.0
14.291666666666599,100.0
14.333333333333265,100.0
14.37499999999993,100.0
14.416666666666597,100.0
14.458333333333263,100.0
14.499999999999929,100.0
14.541666666666595,100.0
14.583333333333261,100.0
14.624999999999927,100.0
14.666666666666593,100.0
14.70833333333326,100.0
14.749999999999925,100.0
14.791666666666591,100.0
14.833333333333258,100.0
14.874999999999924,100.0
14.91666666666659,100.0
14.958333333333256,100.0
14.999999999999922,100.0
15.041666666666588,100.0
15.083333333333254,100.0
15.12499999999992,100.0
15.166666666666586,100.0
15.208333333333252,100.0
15.249999999999918,100.0
15.291666666666584,100.0
15.33333333333325,100.0
15.374999999999917,100.0
15.416666666666583,100.0
15.458333333333249,100.0
15.499999999999915,100.0
15.54166666666658,100.0
15.583333333333247,100.0
15.624999999999913,100.0
15.666666666666579,100.0
15.708333333333245,100.0
15.749999999999911,100.0
15.791666666666577,100.0
15.833333333333243,100.0
15.87499999999991,100.0
15.916666666666575,100.0
15.958333333333242,100.0
15.999999999999908,100.0
16.041666666666575,100.0
16.083333333333243,100.0
